や я
ゆ ю
よ ё
ら ра
り ри
る ру
れ рэ
ろ ро
わ ва
ゐ ви
ゑ вэ
を во/о
だ да
で дэ
ど до
ぴゃ пя
ぴゅ пю
ぴょ пё
びゃ бя
びゅ бю
びょ бё
ぢゃ (дзя)
ぢゅ (дзю)
ぢょ (дзё)
ぢ (дзи)
づ (дзу)
じゃ дзя
じゅ дзю
じょ дзё
ぎゃ гя
ぎゅ гю
ぎょ гё
りゃ ря
りゅ рю
りょ рё
みゃ мя
みゅ мю
みょ мё
ひゃ хя
ひゅ хю
ひょ хё
にゃ ня
にゅ ню
にょ нё
ちゃ тя
ちゅ тю
ちょ тё
しゃ ся
しゅ сю
しょ сё
きゃ кя
きゅ кю
きょ кё
が га
ぎ ги
ぐ гу
げ гэ
ご го
ざ дза
じ дзи
ず дзу
ぜ дзэ
ぞ дзо
あ а
い и
う у
え э
お о
か ка
き ки
く ку
け кэ
こ ко
さ са
し си
す су
せ сэ
そ со
た та
ち ти
つ цу
て тэ
と то
ば ба
び би
ぶ бу
べ бэ
ぼ бо
ぱ па
ぴ пи
ぷ пу
ぺ пэ
ぽ по
な на
に ни
ぬ ну
ね нэ
の но
は ха
ひ хи
ふ фу
へ хэ
ほ хо
ま ма
み ми
む му
め мэ
も мо
